#{"t_start": 1741385346.9208233, "env_id": "None"}
r,l,t
-11173.0,288,875.033691
-10831.0,288,876.653138
-10798.0,288,877.130823
-11170.0,288,877.618361
-11124.0,288,878.0851
-11106.0,288,878.598197
-11781.0,288,879.083234
-12675.0,288,879.772303
-10184.0,288,880.239777
-11939.0,288,885.32559
-12804.0,288,885.77905
-12176.0,288,886.265657
-11969.0,288,886.752303
-11042.0,288,887.211161
-11717.0,288,887.693857
-10716.0,288,888.383091
-14576.0,288,890.13052
-11561.0,288,890.601146
-10455.0,288,891.090236
-10780.0,288,891.554029
-9061.0,288,892.02016
-9869.0,288,892.475849
-11197.0,288,893.009404
-12358.0,288,895.033206
-11801.0,288,895.582915
-11867.0,288,896.085182
-12515.0,288,900.398755
-12192.0,288,900.932686
-12447.0,288,901.398936
-11039.0,288,901.917459
-12692.0,288,903.845258
-10315.0,288,904.452976
-10351.0,288,904.929397
-10717.0,288,905.651178
-12332.0,288,906.197659
-10386.0,288,906.680522
-10547.0,288,907.165635
-10244.0,288,908.971745
-10534.0,288,909.538598
-11003.0,288,910.063326
-10053.0,288,910.636992
-11158.0,288,911.153509
-9543.0,288,911.631773
-9886.0,288,912.202236
-10544.0,288,917.933989
-9997.0,288,918.415031
-11109.0,288,918.884229
-11553.0,288,919.337941
-11279.0,288,919.826102
