#{"t_start": 1739931590.9300845, "env_id": "None"}
r,l,t
-9754.0,288,748.859845
-11826.0,288,749.340931
-12782.0,288,751.05246
-10480.0,288,751.522964
-11036.0,288,752.010934
-11409.0,288,752.493916
-10692.0,288,756.493187
-12588.0,288,756.980565
-9958.0,288,757.450857
-11885.0,288,759.294568
-11324.0,288,759.76529
-10302.0,288,760.391946
-11838.0,288,760.862502
-10301.0,288,761.368001
-11316.0,288,761.84175
-11157.0,288,762.307136
-10473.0,288,764.089634
-11687.0,288,764.570421
-13483.0,288,765.041639
-10318.0,288,765.672277
-13001.0,288,766.140501
-11873.0,288,766.611135
-9860.0,288,767.096931
-10970.0,288,768.784472
-12801.0,288,772.812886
-11094.0,288,773.29673
-11521.0,288,773.768836
-10238.0,288,774.305573
-12553.0,288,774.797842
-10658.0,288,775.26792
-10010.0,288,777.081798
-12076.0,288,777.552038
-13993.0,288,778.04008
-12799.0,288,778.509958
-11344.0,288,779.013267
-11272.0,288,779.559983
-11508.0,288,780.038709
-10946.0,288,781.710507
-12196.0,288,782.352602
-13802.0,288,782.823115
-11265.0,288,783.295091
-12449.0,288,787.139397
-11916.0,288,787.78154
-12420.0,288,788.251685
-13096.0,288,790.014949
-11255.0,288,790.511821
-12586.0,288,790.985905
-11709.0,288,791.471143
-10792.0,288,791.941153
-13262.0,288,792.444246
-11391.0,288,793.055176
-13163.0,288,793.541713
-11522.0,288,795.32659
-10187.0,288,795.80435
-12503.0,288,796.276003
-12191.0,288,796.764201
-9697.0,288,797.235457
-12413.0,288,797.708143
-11036.0,288,801.784278
-11955.0,288,803.488791
-10743.0,288,803.977196
-10993.0,288,804.448204
-11088.0,288,805.143589
-11501.0,288,805.642013
-8982.0,288,806.107698
-11358.0,288,806.593822
-10334.0,288,808.277147
-11480.0,288,808.746903
-11198.0,288,809.219331
-10099.0,288,809.704938
-12767.0,288,810.374976
-10075.0,288,810.851441
-11339.0,288,811.323677
-9986.0,288,813.012906
-11511.0,288,813.483861
-9943.0,288,813.966907
-11527.0,288,817.967098
-11073.0,288,818.455087
-12379.0,288,818.92544
-10809.0,288,819.395764
-9635.0,288,821.180534
-11198.0,288,821.808533
-11053.0,288,822.310605
-13737.0,288,822.793006
-11621.0,288,823.268574
-11051.0,288,823.754021
-13045.0,288,824.223861
-11752.0,288,825.999791
-11982.0,288,826.473722
-13679.0,288,827.099974
-11553.0,288,827.585144
-10700.0,288,828.054929
-10152.0,288,828.540847
-10712.0,288,832.561777
-11433.0,288,834.304277
-12083.0,288,834.775237
-13363.0,288,835.267724
-10094.0,288,835.735124
-10469.0,288,836.270701
-10203.0,288,836.760961
-11736.0,288,837.230706
-11281.0,288,839.04826
-13399.0,288,839.533326
-13286.0,288,840.003704
-10192.0,288,840.490364
-12473.0,288,840.979176
-11426.0,288,841.506935
-10513.0,288,841.988708
-13947.0,288,843.651279
-11307.0,288,844.267165
-9810.0,288,848.14067
-13539.0,288,848.610841
-12433.0,288,849.237777
-12912.0,288,849.739797
-12847.0,288,850.242377
-10898.0,288,850.743194
-10241.0,288,852.49292
-13201.0,288,852.96322
-9620.0,288,853.467312
-11307.0,288,853.954317
-11431.0,288,854.582411
-12302.0,288,855.05303
-12737.0,288,855.569879
-10473.0,288,857.344998
-10565.0,288,857.833033
-14120.0,288,858.334779
-13351.0,288,858.839689
-12108.0,288,859.338499
-14276.0,288,863.387637
-12904.0,288,863.88163
-10057.0,288,865.581948
-10092.0,288,866.037226
-10438.0,288,866.66872
-10296.0,288,867.222959
-9700.0,288,867.709826
-10589.0,288,868.181412
-11678.0,288,868.650395
-10667.0,288,870.382107
-11039.0,288,870.868782
-13083.0,288,871.36165
-12912.0,288,872.038678
-10919.0,288,872.551836
-11097.0,288,873.061905
-11550.0,288,873.579982
-12148.0,288,875.25478
-11830.0,288,879.283047
-12304.0,288,879.768874
-11322.0,288,880.293607
-14491.0,288,880.790509
-9759.0,288,881.263023
-13354.0,288,881.749944
-12426.0,288,883.692335
-10178.0,288,884.17937
-10955.0,288,884.668772
-10950.0,288,885.138129
-11018.0,288,885.622219
-11080.0,288,886.092457
-10956.0,288,886.565547
-9889.0,288,888.342949
-12033.0,288,889.064971
-11207.0,288,889.56858
-12191.0,288,890.07078
-11565.0,288,893.976975
-10261.0,288,894.656354
-10994.0,288,895.15432
-11451.0,288,896.849562
-9741.0,288,897.382512
-10827.0,288,897.98069
-10030.0,288,898.505521
-10861.0,288,899.023043
